instance,method,family,distance,vehicles,ontime_p50,ontime_p95,ontime_mean,feasible
C206,Q120,C,,0,,,,
C206,Q1405,C,,0,,,,
C206,SAA16-b0p3,C,1011.0,10,33.0,34.0,33.5,True
C206,SAA32-b0p5,C,1085.0,10,33.0,34.0,33.5,True
C206,SAA64-b0p7,C,1091.0,10,33.0,34.0,33.5,True
C206,Gamma1,C,1280.726,10,35.0,35.0,35.0,True
C206,Gamma2,C,1280.73,10,35.0,35.0,35.0,True
C207,DET,C,946.0,10,99.05,99.58,97.49,True
C207,Q120,C,,0,,,,
C207,Q1405,C,,0,,,,
C207,SAA16-b0p3,C,993.0,10,47.0,47.05,47.025,True
C207,SAA32-b0p5,C,1076.0,10,47.0,47.05,47.025,True
C207,SAA64-b0p7,C,1084.0,10,47.0,47.05,47.025,True
C207,Gamma1,C,1277.503,10,45.0,45.05,45.025,True
C207,Gamma2,C,1265.56,10,45.0,45.05,45.025,True
C208,DET,C,948.0,10,99.05,99.58,97.49,True
C208,Q120,C,,0,,,,
C208,Q1405,C,,0,,,,
C208,SAA16-b0p3,C,1017.0,10,33.0,33.0,33.0,True
C208,SAA32-b0p5,C,1088.0,10,33.0,33.0,33.0,True
C208,SAA64-b0p7,C,1090.0,10,33.0,33.0,33.0,True
C208,Gamma1,C,1274.661,10,43.0,44.0,43.5,True
C208,Gamma2,C,1274.66,10,43.0,44.0,43.5,True
R101,DET,R,,0,,,,
R101,Q120,R,,0,,,,
R101,Q1405,R,,0,,,,
R101,SAA16-b0p3,R,1781.0,20,31.0,33.0,32.0,True
R101,SAA32-b0p5,R,1904.0,20,31.0,33.0,32.0,True
R101,SAA64-b0p7,R,1970.0,20,31.0,33.0,32.0,True
R101,Gamma1,R,,0,,,,
R101,Gamma2,R,,0,,,,
R102,DET,R,,0,,,,
R102,Q120,R,,0,,,,
R102,Q1405,R,,0,,,,
R102,SAA16-b0p3,R,1602.0,19,39.0,41.0,40.0,True
R102,SAA32-b0p5,R,1722.0,19,39.0,41.0,40.0,True
R102,SAA64-b0p7,R,1759.0,19,39.0,41.0,40.0,True
R102,Gamma1,R,,0,,,,
R102,Gamma2,R,,0,,,,
R103,DET,R,1209.0,14,99.05,99.58,97.49,True
R103,Q120,R,,0,,,,
R103,Q1405,R,,0,,,,
R103,SAA16-b0p3,R,1310.0,15,36.0,39.0,37.5,True
R103,SAA32-b0p5,R,1438.0,14,36.0,39.0,37.5,True
R103,SAA64-b0p7,R,1486.0,15,36.0,39.0,37.5,True
R103,Gamma1,R,,0,,,,
R103,Gamma2,R,,0,,,,
R104,DET,R,987.0,10,99.05,99.58,97.49,True
R104,Q120,R,,0,,,,
R104,Q1405,R,,0,,,,
R104,SAA16-b0p3,R,1106.0,10,36.0,41.05,38.525,True
R104,SAA32-b0p5,R,1164.0,11,36.0,41.05,38.525,True
R104,SAA64-b0p7,R,1249.0,11,36.0,41.05,38.525,True
R104,Gamma1,R,,0,,,,
R104,Gamma2,R,,0,,,,
R105,DET,R,,0,,,,
R105,Q120,R,,0,,,,
R105,Q1405,R,,0,,,,
R105,SAA16-b0p3,R,1488.0,15,27.0,28.0,27.5,True
R105,SAA32-b0p5,R,1647.0,16,27.0,28.0,27.5,True
R105,SAA64-b0p7,R,1654.0,15,27.0,28.0,27.5,True
R105,Gamma1,R,,0,,,,
R105,Gamma2,R,,0,,,,
R106,DET,R,1238.0,13,99.05,99.58,97.49,True
R106,Q120,R,,0,,,,
R106,Q1405,R,,0,,,,
R106,SAA16-b0p3,R,1327.0,13,31.0,37.0,34.0,True
R106,SAA32-b0p5,R,1474.0,14,31.0,37.0,34.0,True
R106,SAA64-b0p7,R,1519.0,13,31.0,37.0,34.0,True
R106,Gamma1,R,,0,,,,
R106,Gamma2,R,,0,,,,
R107,DET,R,1088.0,11,99.05,99.58,97.49,True
R107,Q120,R,,0,,,,
R107,Q1405,R,,0,,,,
R107,SAA16-b0p3,R,1183.0,11,29.0,35.0,32.0,True
R107,SAA32-b0p5,R,1266.0,12,29.0,35.0,32.0,True
R107,SAA64-b0p7,R,1323.0,12,29.0,35.0,32.0,True
R107,Gamma1,R,1668.271,14,45.0,51.0,48.0,True
R107,Gamma2,R,,0,,,,
R108,DET,R,960.0,10,99.05,99.58,97.49,True
R108,Q120,R,,0,,,,
R108,Q1405,R,,0,,,,
R108,SAA16-b0p3,R,1059.0,10,38.0,45.0,41.5,True
R108,SAA32-b0p5,R,1167.0,10,38.0,45.0,41.5,True
R108,SAA64-b0p7,R,1148.0,11,38.0,45.0,41.5,True
R108,Gamma1,R,1460.792,12,53.0,60.05,56.525,True
R108,Gamma2,R,1501.63,13,53.0,60.05,56.525,True
R109,DET,R,1185.0,12,99.05,99.58,97.49,True
R109,Q120,R,,0,,,,
R109,Q1405,R,,0,,,,
R109,SAA16-b0p3,R,1292.0,13,31.0,36.0,33.5,True
R109,SAA32-b0p5,R,1473.0,13,31.0,36.0,33.5,True
R109,SAA64-b0p7,R,1423.0,13,31.0,36.0,33.5,True
R109,Gamma1,R,1793.899,15,33.0,36.0,34.5,True
R109,Gamma2,R,1850.12,16,33.0,36.0,34.5,True
R110,DET,R,1132.0,11,99.05,99.58,97.49,True
R110,Q120,R,,0,,,,
R110,Q1405,R,,0,,,,
R110,SAA16-b0p3,R,1207.0,12,36.0,39.0,37.5,True
R110,SAA32-b0p5,R,1313.0,12,36.0,39.0,37.5,True
R110,SAA64-b0p7,R,1311.0,12,36.0,39.0,37.5,True
R110,Gamma1,R,1685.51,14,39.0,44.0,41.5,True
R110,Gamma2,R,1798.81,16,39.0,44.0,41.5,True
R111,DET,R,1073.0,11,99.05,99.58,97.49,True
R111,Q120,R,,0,,,,
R111,Q1405,R,,0,,,,
R111,SAA16-b0p3,R,1169.0,12,37.0,41.0,39.0,True
R111,SAA32-b0p5,R,1336.0,11,37.0,41.0,39.0,True
R111,SAA64-b0p7,R,1329.0,12,37.0,41.0,39.0,True
R111,Gamma1,R,1679.263,14,48.0,52.05,50.025,True
